,SC,MMP3.48+.BM,MMP4.135+.BM,STHSC.150-.BM,MO.6C+II-.BL,GN.BM,DC.PDC.SP,PRET.DN1.TH,PROB.CLP.BM,NK.27+11B-.BM,ENDOTHELIAL,LEC.SLN,BEC.SLN,NON_IMMUNE,EP.MECHI.TH,FRC.CD140A+.MADCAM-.CD35-.SLN
0,0.01804510908579917,0.07329494136374666,0.04890008584584593,0.0823338524376873,0.04105313811107913,0.07831595453735742,0.09041337882509967,0.04406756834292687,0.07101403828524548,0.052001975643892986,0.10455898572073023,0.0496792952807823,0.07226924159337247,0.07928576955297431,0.038617444297623454,0.05614922107583661
1,0.062418469244857264,0.004391569077033337,0.006811287300775516,0.08351623895889106,0.09147473767002623,0.06546535476749976,0.11134320664323068,0.06741185325783533,0.09057457651077568,0.08742333801417639,0.10215672748064998,0.09261044773035469,0.0011354669636826917,0.024705148360657465,0.0784592686157104,0.030102309403843536
2,0.0004330232803698834,0.06950278304971885,0.1166329651171578,0.06986403727284482,0.06412251906114683,0.11805243419559341,0.0670976927338503,0.07298309825185856,0.014734410118848063,0.0975977298906274,0.06425104905271783,0.08806761875628567,0.004352142209840009,0.10341246400387569,0.03568640316509743,0.013209629840167277
3,0.07469991119359232,0.09477047222353562,0.08768998224944002,0.08934443491211726,0.005532478928499905,0.09089590746007727,0.0854433352670007,0.09023034908153678,0.08217878622371709,0.058777936196812645,0.045686720586701784,0.020278008428031916,0.027399075801489026,0.060847642897335914,0.012000954332264958,0.07422400421784686
4,0.14081020776530126,0.11128403081858412,0.032746435804620014,0.055549157077709514,0.009169075189414044,0.08615888140304798,0.004358463793695859,0.05553631936671171,0.08168060069732136,0.05638145462886764,0.06680400355883703,0.0997141829199143,0.006123259703893644,0.08519162014926351,0.020152225681714354,0.08834008144110361
5,0.08339542754067267,0.03859063912744513,0.07598074742896188,0.02674145643915391,0.09611620972712258,0.07307694430274381,0.03809827417349358,0.07645427385283494,0.04653467209114211,0.08852832652878964,0.05866707892806664,0.020737243140436443,0.04559690985778288,0.09441371090674643,0.09264271217952276,0.044425373775084584
6,0.07957317525528776,0.029819394266856467,0.09191835411499745,0.0007330765620761896,0.08498516495271212,0.009026742112591293,0.013777067063817726,0.0679465998024713,0.10291550894616676,0.04299785999548779,0.07375880856014337,0.13258923501473735,0.029564697103120575,0.09959766069164183,0.11676579202629972,0.024030863531592204
7,0.029662715896389445,0.08222190094578834,0.024208534628633843,0.05396043420833902,0.09904893346280638,0.06005178402809333,0.030944711846727112,0.04566841621652644,0.06343127407357957,0.10580391319438681,0.09168703591836463,0.09921992630441302,0.06430865969865261,0.05698452769682726,0.07243149880143615,0.020365733079036146
8,0.08318552136948008,0.041286023040844874,0.03125780290360818,0.12422517450796898,0.022594518166924146,0.0838121976398821,0.06998489234023908,0.02156813861344138,0.09892601299902462,0.03782639482111726,0.06787392696287226,0.016429369484460946,0.010577994589492441,0.12273520577896987,0.04976838674129597,0.11794844004037791
9,0.06022668479624763,0.0029436899921887567,0.010777721926550904,0.12933382340882119,0.046000402643173705,0.07458477347350832,0.0018487680452623427,0.06634822289126929,0.11254305130862503,0.06932651943974263,0.021466450893665393,0.0303009185920032,0.1173475410140191,0.10135505166097637,0.11707083707548718,0.03852554283845892
